Week,Google_Search,Google_Display,Meta,Instagram,YouTube,TV,Radio,Influencer,Affiliate,Email,Discount,Price,Temperature,Competitor_Spend,Holiday,Sales,Revenue,Orders,Google_Search_zscore,Google_Display_zscore,Meta_zscore,Instagram_zscore,YouTube_zscore,TV_zscore,Radio_zscore,Influencer_zscore,Affiliate_zscore,Email_zscore
2021-01-04,141958.0,27400.0,80692.0,188513.0,31246.0,80774.0,66542.0,120734.0,41636.0,75099.0,20.0,1031.555971921338,28.0,136836.0,0.0,3636150.0,3636150.0,3524.0,0.62957860915995,-1.5512307731082118,-0.5036329214059099,1.5276408296895878,-1.547106723258009,-0.5723172633757855,-0.9322777400139465,0.14021615697299689,-1.2764316551847983,-0.7688702072413388
2021-01-11,166867.0,137858.0,64425.0,73682.0,196630.0,43752.0,147015.0,177702.0,101889.0,55262.0,0.0,989.1235199570624,28.964293442042585,186570.0,0.0,3425190.0,3425190.0,3462.0,1.125928702900114,0.5655783688321279,-0.796901428226583,-0.7665426775650426,1.635846303391516,-1.286793258106809,0.6371175761176131,1.2185255589465034,-0.13485564290687832,-1.157093134342134
2021-01-18,151932.0,193714.0,58756.0,79494.0,169453.0,75029.0,62520.0,197235.0,73551.0,98213.0,15.0,1001.092910434567,29.914525314300462,100098.0,0.0,3652662.0,3652662.0,3648.0,0.8283258826339712,1.6359987225613246,-0.899104610446193,-0.6504259970156795,1.112802270079623,-0.683188220907246,-1.0107153272976457,1.5882527311966879,-0.671758055001408,-0.31651426949834444
2021-01-25,123694.0,35151.0,38888.0,101317.0,147796.0,168757.0,84772.0,118511.0,162628.0,137407.0,15.0,948.6729028828076,30.836839096340285,245458.0,0.0,3729639.0,3729639.0,3931.0,0.26564034941165193,-1.4026911683789973,-1.2572935016684919,-0.21442903906166183,0.6959952409948942,1.1256391259175977,-0.5767538175420822,0.09813846773365013,1.0159283082615047,0.45053767408125756
2021-02-01,139879.0,86690.0,186807.0,85215.0,187527.0,150282.0,70106.0,31653.0,178670.0,169340.0,5.0,982.9429189954732,31.71778537635015,162169.0,0.0,3493631.0,3493631.0,3554.0,0.5881513401051585,-0.4150014911581245,1.4094541629535744,-0.5361273856215112,1.4606514755871902,0.7690958812885756,-0.8627721305959692,-1.5459388745745726,1.319866077152056,1.0754871488561575
2021-02-08,130268.0,24499.0,67295.0,98587.0,112263.0,71693.0,101121.0,179033.0,162635.0,106269.0,5.0,1003.5864900443304,32.544517973849246,190641.0,0.0,3269366.0,3269366.0,3257.0,0.39663739932324366,-1.606825327787537,-0.7451598277731908,-0.2689711137175051,0.012133017950720852,-0.7475686411552794,-0.2579134111519282,1.2437191731514385,1.0160609328957295,-0.15885313622597436
2021-02-15,74886.0,26295.0,134352.0,26949.0,155090.0,136739.0,45559.0,101941.0,66819.0,80545.0,5.0,1054.2431258722684,33.30498126592636,176060.0,0.0,3515214.0,3515214.0,3334.0,-0.7069340363633662,-1.5724069133773102,0.46377275118260186,-1.7002110932762238,0.8363743549139048,0.5077337615586245,-1.3414910403555333,-0.2155040471993123,-0.7993050603730071,-0.6622884629760301
2021-02-22,157337.0,140885.0,103042.0,75393.0,31302.0,75961.0,125595.0,53662.0,93770.0,59922.0,15.0,968.2175789036578,33.98808598536881,237954.0,0.0,3500264.0,3500264.0,3615.0,0.9360288115618923,0.6235875784199659,-0.10069746142914437,-0.7323589816909957,-1.546028956548458,-0.665201844507016,0.21938184274694214,-1.1293451442692275,-0.28868127223130086,-1.065893918720331
2021-03-01,188266.0,146071.0,105999.0,158013.0,87506.0,146678.0,53742.0,118818.0,178038.0,62913.0,0.0,977.9723371387876,34.58387092714925,180544.0,0.0,3547308.0,3547308.0,3627.0,1.5523366540802406,0.7229717082258885,-0.04738738737315799,0.9182879809704595,-0.4643360968412922,0.6995434128911199,-1.1819050690122932,0.10394946665244431,1.3078919673191907,-1.0073581131570664
2021-03-08,107498.0,79040.0,37955.0,45934.0,61157.0,94532.0,89669.0,172360.0,178059.0,117033.0,0.0,1037.7715856872912,35.08364820522568,50340.0,0.0,3306354.0,3306354.0,3186.0,-0.0570898331816154,-0.5616055391749598,-1.2741140289238977,-1.3209139184259728,-0.9714445795191107,-0.30680592591402167,-0.4812518620651366,1.1174103920924368,1.3082898412218649,0.051805309472113016
