Google_Search_Hill,Meta_Hill,TV_Hill,Trend,Sales_MA_12,Sales_Lag_4,Discount,Holiday,Competitor_Spend,Price,Temperature,Quarter,Sales
0.2058913831285157,0.0832163463762791,0.0807999985972043,0,3636150.0,3636150.0,20.0,0.0,136836.0,1031.555971921338,28.0,1,3636150.0
0.4497343539723227,0.1507460948365827,0.1027937638402841,1,3530670.0,3636150.0,0.0,0.0,186570.0,989.1235199570624,28.964293442042585,1,3425190.0
0.5417943026959855,0.1822983976048253,0.1862967162384561,2,3571334.0,3636150.0,15.0,0.0,100098.0,1001.092910434567,29.914525314300462,1,3652662.0
0.5457574247929878,0.1551260220478269,0.4510857847419119,3,3610910.25,3636150.0,15.0,0.0,245458.0,948.6729028828076,30.836839096340285,1,3729639.0
0.5734170335209987,0.4767749408366529,0.5454915638831535,4,3587454.4,3636150.0,5.0,0.0,162169.0,982.9429189954732,31.71778537635015,1,3493631.0
0.5748901765601772,0.4044035851480422,0.458657879302778,5,3534439.6666666665,3425190.0,5.0,0.0,190641.0,1003.5864900443304,32.544517973849246,1,3269366.0
0.4828909423319483,0.4980140945795992,0.5263597657611788,6,3531693.1428571427,3652662.0,5.0,0.0,176060.0,1054.2431258722684,33.30498126592636,1,3515214.0
0.5669315537957575,0.4910973461340202,0.4537071091839239,7,3527764.5,3729639.0,15.0,0.0,237954.0,968.2175789036578,33.98808598536881,1,3500264.0
0.6496717614335914,0.4925349067263155,0.5407837624202674,8,3529936.0,3493631.0,0.0,0.0,180544.0,977.9723371387876,34.58387092714925,1,3547308.0
0.5912334919329164,0.3493929822043475,0.4990455480080139,9,3507577.8,3269366.0,0.0,0.0,50340.0,1037.7715856872912,35.08364820522568,1,3306354.0
0.5892245590006046,0.3006415730507878,0.4864349037845925,10,3475415.0,3515214.0,5.0,0.0,225021.0,965.6263886520276,35.48012994148332,1,3153787.0
0.6072541589654478,0.3487692988578607,0.4270767496795669,11,3498300.25,3500264.0,20.0,0.0,132302.0,1045.695405758965,35.767534539408416,1,3750038.0
0.6765456327783606,0.5623273253367451,0.3999009633728673,12,3499708.4166666665,3547308.0,0.0,0.0,243515.0,999.6365370109496,35.94167099278443,1,3653048.0
0.4984768019620108,0.617887520989486,0.5839358587411337,13,3532575.0,3306354.0,15.0,0.0,50138.0,1012.1249184636736,36.0,2,3819589.0
0.4004713817546841,0.6771669013488143,0.4477358886815666,14,3533336.1666666665,3153787.0,10.0,0.0,181430.0,1014.7008921003747,35.94167099278443,2,3661796.0
