Week,Google_Search,Google_Display,Meta,Instagram,YouTube,TV,Radio,Influencer,Affiliate,Email,Discount,Price,Temperature,Competitor_Spend,Holiday,Sales,Revenue,Orders,Google_Search_zscore,Google_Display_zscore,Meta_zscore,Instagram_zscore,YouTube_zscore,TV_zscore,Radio_zscore,Influencer_zscore,Affiliate_zscore,Email_zscore,IsolationForest_Outlier,Google_Search_Adstock,Google_Display_Adstock,Meta_Adstock,Instagram_Adstock,YouTube_Adstock,TV_Adstock,Radio_Adstock,Influencer_Adstock,Affiliate_Adstock,Email_Adstock,Google_Search_Weibull,Google_Search_Hill,Google_Display_Hill,Meta_Hill,Instagram_Hill,YouTube_Hill,TV_Hill,Radio_Hill,Influencer_Hill,Affiliate_Hill,Email_Hill
2021-01-04,141958.0,27400.0,80692.0,188513.0,31246.0,80774.0,66542.0,120734.0,41636.0,75099.0,20.0,1031.555971921338,28.0,136836.0,0.0,3636150.0,3636150.0,3524.0,0.62957860915995,-1.5512307731082118,-0.5036329214059099,1.5276408296895878,-1.547106723258009,-0.5723172633757855,-0.9322777400139464,0.1402161569729968,-1.2764316551847985,-0.7688702072413388,1,141958.0,27400.0,80692.0,188513.0,31246.0,80774.0,66542.0,120734.0,41636.0,75099.0,10984.868486167356,0.20589138312851574,0.009967795688799018,0.0832163463762791,0.3048619338446994,0.01198198920880231,0.08079999859720434,0.0509195269434846,0.1529483290158654,0.0238245429168618,0.0672676797385674
2021-01-11,166867.0,137858.0,64425.0,73682.0,196630.0,43752.0,147015.0,177702.0,101889.0,55262.0,0.0,989.1235199570624,28.964293442042585,186570.0,0.0,3425190.0,3425190.0,3462.0,1.125928702900114,0.5655783688321279,-0.796901428226583,-0.7665426775650426,1.635846303391516,-1.286793258106809,0.6371175761176131,1.2185255589465034,-0.1348556429068783,-1.157093134342134,1,252041.8,154298.0,112840.2,186789.8,215377.6,92216.4,186940.2,250142.4,126870.6,100321.4,32397.763418367264,0.4497343539723227,0.2420097627192005,0.15074609483658274,0.3009837772983866,0.36556435767897794,0.10279376384028414,0.2974780501999678,0.4366472321603656,0.18474550573770532,0.1140225967923757
2021-01-18,151932.0,193714.0,58756.0,79494.0,169453.0,75029.0,62520.0,197235.0,73551.0,98213.0,15.0,1001.092910434567,29.914525314300462,100098.0,0.0,3652662.0,3652662.0,3648.0,0.8283258826339712,1.6359987225613246,-0.899104610446193,-0.6504259970156795,1.112802270079623,-0.683188220907246,-1.0107153272976457,1.588252731196688,-0.671758055001408,-0.3165142694983444,1,303157.08,286292.8,126460.12,191567.88,298679.56,130358.84,174684.12,347320.44,149673.36,158405.84,58591.08531333428,0.5417943026959855,0.5236239206005389,0.18229839760482536,0.31171772147903143,0.5256433674438227,0.18629671623845614,0.26993445743767197,0.599085110115174,0.23976910593207115,0.24292084375846848
2021-01-25,123694.0,35151.0,38888.0,101317.0,147796.0,168757.0,84772.0,118511.0,162628.0,137407.0,15.0,948.6729028828076,30.836839096340285,245458.0,0.0,3729639.0,3729639.0,3931.0,0.2656403494116519,-1.402691168378997,-1.257293501668492,-0.2144290390616618,0.6959952409948942,1.1256391259175975,-0.5767538175420822,0.0981384677336501,1.0159283082615047,0.4505376740812575,1,305588.248,206926.68,114764.072,216257.728,327003.73600000003,246972.304,189582.472,326903.264,252432.016,232450.504,82669.41394905373,0.5457574247929878,0.3647665570865793,0.1551260220478269,0.3659470863466407,0.5704933165253299,0.4510857847419119,0.30337755606791034,0.5696657339705417,0.4728835084134663,0.4086139415249871
2021-02-01,139879.0,86690.0,186807.0,85215.0,187527.0,150282.0,70106.0,31653.0,178670.0,169340.0,5.0,982.9429189954732,31.71778537635015,162169.0,0.0,3493631.0,3493631.0,3554.0,0.5881513401051585,-0.4150014911581245,1.4094541629535744,-0.5361273856215112,1.4606514755871902,0.7690958812885756,-0.8627721305959692,-1.5459388745745726,1.319866077152056,1.0754871488561577,1,323231.9488,210846.008,255665.4432,214969.6368,383729.2416,298465.3824,183855.4832,227794.9584,330129.2096,308810.30240000004,102789.6734938733,0.5734170335209987,0.37350534221662246,0.47677494083665295,0.363179219625729,0.6465241457450508,0.5454915638831535,0.29057074602203775,0.39127659513633256,0.6054226963877981,0.5494383097799354
2021-02-08,130268.0,24499.0,67295.0,98587.0,112263.0,71693.0,101121.0,179033.0,162635.0,106269.0,5.0,1003.5864900443304,32.544517973849246,190641.0,0.0,3269366.0,3269366.0,3257.0,0.3966373993232436,-1.606825327787537,-0.7451598277731908,-0.2689711137175051,0.0121330179507208,-0.7475686411552794,-0.2579134111519282,1.2437191731514383,1.0160609328957295,-0.1588531362259743,1,324207.16928000003,151006.60479999997,220694.26592,227568.78208,342500.54496,250772.22944,211434.28992,315709.97504,360712.52576,291555.18144,116913.54434689444,0.5748901765601772,0.23418721373127646,0.40440358514804225,0.38991242233567125,0.5930208149164331,0.458657879302778,0.35135573568253403,0.5525074119760133,0.6468693394806669,0.5208393494032167
2021-02-15,74886.0,26295.0,134352.0,26949.0,155090.0,136739.0,45559.0,101941.0,66819.0,80545.0,5.0,1054.2431258722684,33.30498126592636,176060.0,0.0,3515214.0,3515214.0,3334.0,-0.7069340363633662,-1.5724069133773102,0.4637727511826018,-1.7002110932762238,0.8363743549139048,0.5077337615586245,-1.3414910403555331,-0.2155040471993123,-0.7993050603730071,-0.6622884629760301,1,269410.301568,116898.96287999998,266768.559552,163490.26924799997,360590.326976,287202.337664,172419.573952,291366.985024,283246.515456,255478.108864,121152.86912316088,0.48289094233194835,0.15487790113916836,0.4980140945795992,0.24804272875307884,0.6176075842518411,0.5263597657611788,0.2648225374192592,0.512578862713685,0.5304071216848085,0.4549278314031014
2021-02-22,157337.0,140885.0,103042.0,75393.0,31302.0,75961.0,125595.0,53662.0,93770.0,59922.0,15.0,968.2175789036578,33.98808598536881,237954.0,0.0,3500264.0,3500264.0,3615.0,0.9360288115618924,0.6235875784199659,-0.1006974614291443,-0.7323589816909957,-1.546028956548458,-0.665201844507016,0.2193818427469421,-1.1293451442692275,-0.2886812722313008,-1.065893918720331,1,318983.1809408,211024.377728,263103.1357312,173487.16154879998,247656.1961856,248282.4025984,229046.7443712,228482.1910144,263717.9092736,213208.8653184,124215.99000081688,0.5669315537957575,0.3739011726052381,0.4910973461340202,0.2708373777223988,0.4324171254076926,0.45370710918392393,0.38863310202120116,0.3927124894833172,0.49472609058482764,0.3676042770013921
2021-03-01,188266.0,146071.0,105999.0,158013.0,87506.0,146678.0,53742.0,118818.0,178038.0,62913.0,0.0,977.9723371387876,34.58387092714925,180544.0,0.0,3547308.0,3547308.0,3627.0,1.5523366540802406,0.7229717082258885,-0.0473873873731579,0.9182879809704596,-0.4643360968412922,0.6995434128911199,-1.1819050690122932,0.1039494666524443,1.3078919673191909,-1.0073581131570664,1,379655.90856448,272685.6266368,263860.88143872,262105.29692928,236099.71771136,295647.44155904,191170.04662272,255907.31460864,336268.74556415994,190838.31919104,130207.52224935184,0.6496717614335914,0.49929378243225275,0.49253490672631556,0.458820292945277,0.40912819417296664,0.5407837624202674,0.3069138733505606,0.44788732421283844,0.6141913311121086,0.3177351573230322
2021-03-08,107498.0,79040.0,37955.0,45934.0,61157.0,94532.0,89669.0,172360.0,178059.0,117033.0,0.0,1037.7715856872912,35.08364820522568,50340.0,0.0,3306354.0,3306354.0,3186.0,-0.0570898331816154,-0.5616055391749598,-1.2741140289238977,-1.3209139184259728,-0.9714445795191108,-0.3068059259140216,-0.4812518620651366,1.1174103920924368,1.3082898412218649,0.051805309472113,1,335291.545138688,242651.37598208,196271.528863232,203197.178157568,202816.830626816,271920.464935424,204371.027973632,325904.388765184,379820.2473384959,231535.991514624,132938.10361869345,0.5912334919329164,0.44121992051033915,0.3493929822043475,0.3375499259792144,0.33816719716417326,0.49904554800801393,0.3360293251230234,0.5681646802812904,0.670078424794148,0.4067101732868911
